t,x,y
7.970000,7.131272,0.299930
7.980000,7.192093,0.303066
7.990000,7.253317,0.306283
8.000000,7.314943,0.309581
8.010000,7.376970,0.312963
8.020000,7.439395,0.316431
8.030000,7.502216,0.319987
8.040000,7.565432,0.323635
8.050000,7.629040,0.327376
8.060000,7.693036,0.331213
8.070000,7.757419,0.335149
8.080000,7.822185,0.339186
8.090000,7.887330,0.343328
8.100000,7.952851,0.347577
8.110000,8.018743,0.351936
8.120000,8.085003,0.356409
8.130000,8.151626,0.360999
8.140000,8.218607,0.365709
8.150000,8.285940,0.370543
8.160000,8.353621,0.375503
8.170000,8.421642,0.380595
8.180000,8.489999,0.385822
8.190000,8.558684,0.391187
8.200000,8.627690,0.396696
8.210000,8.697009,0.402351
8.220000,8.766635,0.408158
8.230000,8.836557,0.414121
8.240000,8.906769,0.420245
8.250000,8.977259,0.426534
8.260000,9.048019,0.432994
8.270000,9.119039,0.439630
8.280000,9.190307,0.446447
8.290000,9.261811,0.453450
8.300000,9.333541,0.460646
8.310000,9.405483,0.468040
8.320000,9.477625,0.475638
8.330000,9.549952,0.483447
8.340000,9.622450,0.491473
8.350000,9.695104,0.499723
8.360000,9.767898,0.508204
8.370000,9.840815,0.516923
8.380000,9.913839,0.525887
8.390000,9.986950,0.535105
8.400000,10.060131,0.544584
8.410000,10.133360,0.554332
8.420000,10.206619,0.564358
8.430000,10.279884,0.574670
8.440000,10.353133,0.585278
8.450000,10.426344,0.596192
8.460000,10.499491,0.607419
8.470000,10.572549,0.618972
8.480000,10.645492,0.630859
8.490000,10.718291,0.643091
8.500000,10.790919,0.655680
8.510000,10.863346,0.668637
8.520000,10.935539,0.681973
8.530000,11.007468,0.695700
8.540000,11.079098,0.709831
8.550000,11.150395,0.724378
8.560000,11.221323,0.739355
8.570000,11.291844,0.754775
8.580000,11.361919,0.770652
8.590000,11.431507,0.787001
8.600000,11.500568,0.803835
8.610000,11.569059,0.821171
8.620000,11.636933,0.839024
8.630000,11.704145,0.857410
8.640000,11.770647,0.876345
8.650000,11.836390,0.895846
8.660000,11.901322,0.915931
8.670000,11.965390,0.936617
8.680000,12.028541,0.957922
8.690000,12.090718,0.979866
8.700000,12.151863,1.002467
8.710000,12.211917,1.025745
8.720000,12.270818,1.049719
8.730000,12.328503,1.074411
8.740000,12.384907,1.099840
8.750000,12.439964,1.126027
8.760000,12.493606,1.152995
8.770000,12.545762,1.180765
8.780000,12.596361,1.209359
8.790000,12.645329,1.238800
8.800000,12.692592,1.269110
8.810000,12.738072,1.300312
8.820000,12.781692,1.332430
8.830000,12.823372,1.365487
8.840000,12.863031,1.399507
8.850000,12.900586,1.434512
8.860000,12.935954,1.470527
8.870000,12.969050,1.507575
8.880000,12.999788,1.545680
8.890000,13.028082,1.584865
8.900000,13.053843,1.625154
8.910000,13.076984,1.666568
8.920000,13.097416,1.709131
8.930000,13.115051,1.752864
8.940000,13.129799,1.797790
8.950000,13.141571,1.843927
8.960000,13.150280,1.891298
8.970000,13.155836,1.939920
8.980000,13.158155,1.989811
8.990000,13.157149,2.040989
9.000000,13.152734,2.093469
9.010000,13.144828,2.147266
9.020000,13.133350,2.202391
9.030000,13.118221,2.258857
9.040000,13.099368,2.316672
9.050000,13.076716,2.375844
9.060000,13.050197,2.436377
9.070000,13.019747,2.498275
9.080000,12.985304,2.561537
9.090000,12.946811,2.626162
9.100000,12.904219,2.692145
9.110000,12.857481,2.759477
9.120000,12.806557,2.828148
9.130000,12.751414,2.898144
9.140000,12.692023,2.969447
9.150000,12.628366,3.042036
9.160000,12.560428,3.115887
9.170000,12.488205,3.190972
9.180000,12.411699,3.267259
9.190000,12.330922,3.344712
9.200000,12.245892,3.423291
9.210000,12.156638,3.502953
9.220000,12.063197,3.583651
9.230000,11.965616,3.665332
9.240000,11.863950,3.747942
9.250000,11.758264,3.831420
9.260000,11.648633,3.915703
9.270000,11.535141,4.000724
9.280000,11.417880,4.086412
9.290000,11.296952,4.172693
9.300000,11.172470,4.259489
